npages,nframes,algorithm,program,pagefaults,diskwrites,diskreads
100,2,rand,sort,2644,1112,2644
100,2,fifo,sort,2111,1075,2111
100,2,custom,sort,2111,1075,2111
100,2,rand,scan,1100,100,1100
100,2,fifo,scan,1100,100,1100
100,2,custom,scan,1100,100,1100
100,2,rand,focus,298,198,298
100,2,fifo,focus,299,199,299
100,2,custom,focus,299,199,299
100,3,rand,sort,1997,977,1997
100,3,fifo,sort,1615,907,1615
100,3,custom,sort,1603,896,1603
100,3,rand,scan,1100,100,1100
100,3,fifo,scan,1100,100,1100
100,3,custom,scan,1100,100,1100
100,3,rand,focus,295,195,295
100,3,fifo,focus,298,198,298
100,3,custom,focus,298,198,298
