npages, nframes, algorithm, program, pagefaults, diskwrites, diskreads
100, 50, rand, sort, 516, 367, 516
100, 50, fifo, sort, 500, 301, 500
100, 50, custom, sort, 126644, 292, 126644
100, 50, rand, scan, 898, 100, 898
100, 50, fifo, scan, 1100, 100, 1100
100, 50, custom, scan, 610, 51, 610
100, 50, rand, focus, 233, 147, 233
100, 50, fifo, focus, 236, 153, 236
100, 50, custom, focus, 207, 107, 207
100, 50, rand, custom, 903, 111, 903
100, 50, fifo, custom, 1110, 119, 1110
100, 50, custom, custom, 611, 52, 611
100, 20, rand, sort, 837, 538, 837
100, 20, fifo, sort, 803, 507, 803
100, 20, custom, sort, 823416, 491, 823416
100, 20, rand, scan, 1092, 100, 1092
100, 20, fifo, scan, 1100, 100, 1100
100, 20, custom, scan, 910, 81, 910
100, 20, rand, focus, 273, 178, 273
100, 20, fifo, focus, 275, 181, 275
100, 20, custom, focus, 260, 160, 260
100, 20, rand, custom, 1146, 156, 1146
100, 20, fifo, custom, 1140, 149, 1140
100, 20, custom, custom, 911, 82, 911
100, 10, rand, sort, 1086, 667, 1086
100, 10, fifo, sort, 1015, 619, 1015
100, 10, custom, sort, 1536985, 611, 1536985
100, 10, rand, scan, 1100, 100, 1100
100, 10, fifo, scan, 1100, 100, 1100
100, 10, custom, scan, 1010, 91, 1010
100, 10, rand, focus, 291, 191, 291
100, 10, fifo, focus, 288, 189, 288
100, 10, custom, focus, 282, 182, 282
100, 10, rand, custom, 1200, 203, 1200
100, 10, fifo, custom, 1190, 199, 1190
100, 10, custom, custom, 1011, 92, 1011
100, 5, rand, sort, 1444, 794, 1444
100, 5, fifo, sort, 1247, 747, 1247
100, 5, custom, sort, 2500103, 751, 2500103
100, 5, rand, scan, 1100, 100, 1100
100, 5, fifo, scan, 1100, 100, 1100
100, 5, custom, scan, 1060, 96, 1060
100, 5, rand, focus, 298, 198, 298
100, 5, fifo, focus, 295, 196, 295
100, 5, custom, focus, 294, 194, 294
100, 5, rand, custom, 1347, 314, 1347
100, 5, fifo, custom, 1289, 298, 1289
100, 5, custom, custom, 1061, 97, 1061
