npages,nframes,algorithm,program,pagefaults,diskwrites,diskreads
100,2,rand,sort,2644,1112,2644
100,2,fifo,sort,2111,1075,2111
100,2,custom,sort,2111,1075,2111
100,2,rand,scan,1100,100,1100
100,2,fifo,scan,1100,100,1100
100,2,custom,scan,1100,100,1100
100,2,rand,focus,298,198,298
100,2,fifo,focus,299,199,299
100,2,custom,focus,299,199,299
100,3,rand,sort,1997,977,1997
100,3,fifo,sort,1615,907,1615
100,3,custom,sort,1603,896,1603
100,3,rand,scan,1100,100,1100
100,3,fifo,scan,1100,100,1100
100,3,custom,scan,1100,100,1100
100,3,rand,focus,295,195,295
100,3,fifo,focus,298,198,298
100,3,custom,focus,298,198,298
100,4,rand,sort,1601,853,1601
100,4,fifo,sort,1371,771,1371
100,4,custom,sort,1358,771,1358
100,4,rand,scan,1100,100,1100
100,4,fifo,scan,1100,100,1100
100,4,custom,scan,1100,100,1100
100,4,rand,focus,294,194,294
100,4,fifo,focus,298,198,298
100,4,custom,focus,298,198,298
100,5,rand,sort,1444,794,1444
100,5,fifo,sort,1247,747,1247
100,5,custom,sort,1306,739,1306
100,5,rand,scan,1100,100,1100
100,5,fifo,scan,1100,100,1100
100,5,custom,scan,1100,100,1100
100,5,rand,focus,298,198,298
100,5,fifo,focus,295,196,295
100,5,custom,focus,295,196,295
100,6,rand,sort,1341,755,1341
